Ttretmaent,Group,Letter,Aperture
Pre,Pre,A,4.596
Pre,Pre,A,5.07
Pre,Pre,A,2.771
Pre,Pre,A,5.063
Pre,Pre,A,2.998
Pre,Pre,A,3.203
Pre,Pre,A,2.352
Pre,Pre,A,3.702
Pre,Pre,A,3.475
Pre,Pre,A,4.197
Pre,Pre,A,1.599
Pre,Pre,A,2.414
Pre,Pre,A,3.298
Pre,Pre,A,3.399
Pre,Pre,A,1.894
Pre,Pre,A,0.666
Pre,Pre,A,1.413
Pre,Pre,A,2.199
Pre,Pre,A,2.4
Pre,Pre,A,1.373
Pre,Pre,A,1.901
Pre,Pre,A,1.917
Pre,Pre,A,1.022
Pre,Pre,A,1.017
Pre,Pre,A,1.245
Pre,Pre,A,0.945
Pre,Pre,A,1.366
Pre,Pre,A,1.947
Pre,Pre,A,0.787
Pre,Pre,A,1.94
Pre,Pre,A,1.199
Pre,Pre,A,0.833
Pre,Pre,A,1.081
Pre,Pre,A,1.315
Pre,Pre,A,1.377
Dark,Dark,B,0.799
Dark,Dark,B,0.149
Dark,Dark,B,0.44
Dark,Dark,B,0.764
Dark,Dark,B,0.094
Dark,Dark,B,0.333
Dark,Dark,B,1.33
Dark,Dark,B,0.927
Dark,Dark,B,1.15
Dark,Dark,B,0.419
Dark,Dark,B,0.533
Dark,Dark,B,0.044
Dark,Dark,B,0.298
Dark,Dark,B,0.178
Dark,Dark,B,0.311
Dark,Dark,B,0.12
Dark,Dark,B,0.716
Dark,Dark,B,0.593
Dark,Dark,B,0.634
Dark,Dark,B,0.239
Dark,Dark,B,0.355
Dark,Dark,B,0.894
Dark,Dark,B,0.149
Dark,Dark,B,0.323
Dark,Dark,B,0.14
Dark,Dark,B,0.094
Dark,Dark,B,0.314
Dark,Dark,B,0.804
Dark,Dark,B,0.603
Dark,Dark,B,1.351
Dark,Dark,B,1.247
Dark,Dark,B,0.949
Dark,Dark,B,0.471
Dark,Dark,B,0.802
Dark,Dark,B,0.298
Dark,Dark,B,0.447
Dark,Dark,B,0.666
0mM,Control,C,3.12
0mM,Control,C,1.674
0mM,Control,C,0.478
0mM,Control,C,1.877
0mM,Control,C,1.591
0mM,Control,C,2.079
0mM,Control,C,2.628
0mM,Control,C,1.181
0mM,Control,C,1.142
0mM,Control,C,1.331
0mM,Control,C,0.402
0mM,Control,C,0.497
0mM,Control,C,1.348
0mM,Control,C,2.265
0mM,Control,C,1.479
0mM,Control,C,1.2
0mM,Control,C,1.994
0mM,Control,C,1.084
0mM,Control,C,2.642
0mM,Control,C,2.133
0mM,Control,C,1.936
0mM,Control,C,2.511
0mM,Control,C,1.107
0mM,Control,C,0.844
0mM,Control,C,0.478
0mM,Control,C,3.706
0mM,Control,C,1.987
0mM,Control,C,1.199
0mM,Control,C,2.38
0mM,Control,C,2.233
0mM,Control,C,1.55
0mM,Control,C,1.942
0mM,Control,C,1.342
0mM,Control,C,0.869
0mM,Control,C,2.734
0mM,Control,C,3.95
0mM,Control,C,1.856
0mM,Control,C,1.201
0mM,Control,C,1.69
0mM,Control,C,2.041
0mM,Control,C,1.954
0mM,Control,C,1.405
0mM,Control,C,1.182
0mM,Control,C,1.917
0mM,Control,C,2.263
0mM,Control,C,2.117
0mM,Control,C,1.066
0mM,Control,C,0.678
0.4mM,Sucrose,D,0.975
0.4mM,Sucrose,D,1.549
0.4mM,Sucrose,D,1.571
0.4mM,Sucrose,D,2.641
0.4mM,Sucrose,D,3.954
0.4mM,Sucrose,D,1.702
0.4mM,Sucrose,D,1.554
0.4mM,Sucrose,D,2.913
0.4mM,Sucrose,D,2.913
0.4mM,Sucrose,D,1.414
0.4mM,Sucrose,D,2.287
0.4mM,Sucrose,D,1.704
0.4mM,Sucrose,D,1.736
0.4mM,Sucrose,D,1.373
0.4mM,Sucrose,D,1.194
0.4mM,Sucrose,D,1.074
0.4mM,Sucrose,D,2.846
0.4mM,Sucrose,D,1.313
0.4mM,Sucrose,D,0.518
0.4mM,Sucrose,D,2.431
0.4mM,Sucrose,D,1.45
0.4mM,Sucrose,D,0.596
0.4mM,Sucrose,D,1.979
0.4mM,Sucrose,D,0.793
0.4mM,Sucrose,D,3.103
0.4mM,Sucrose,D,2.738
0.4mM,Sucrose,D,2.776
0.4mM,Sucrose,D,4.456
0.4mM,Sucrose,D,1.691
1mM,Sucrose,E,2.605
1mM,Sucrose,E,2.473
1mM,Sucrose,E,3.068
1mM,Sucrose,E,5.124
1mM,Sucrose,E,3.553
1mM,Sucrose,E,2.446
1mM,Sucrose,E,3.102
1mM,Sucrose,E,3.202
1mM,Sucrose,E,1.743
1mM,Sucrose,E,2.516
1mM,Sucrose,E,2.979
1mM,Sucrose,E,1.798
1mM,Sucrose,E,1.519
1mM,Sucrose,E,1.413
1mM,Sucrose,E,1.349
1mM,Sucrose,E,1.831
1mM,Sucrose,E,1.526
1mM,Sucrose,E,3.248
1mM,Sucrose,E,1.995
1mM,Sucrose,E,1.81
1mM,Sucrose,E,2.246
1mM,Sucrose,E,3.733
1mM,Sucrose,E,1.121
1mM,Sucrose,E,3.099
1mM,Sucrose,E,3.136
1mM,Sucrose,E,4.619
1mM,Sucrose,E,2.644
1mM,Sucrose,E,2.755
1mM,Sucrose,E,2.478
1mM,Sucrose,E,2.279
1mM,Sucrose,E,3.277
1mM,Sucrose,E,1.435
1mM,Sucrose,E,2.685
1mM,Sucrose,E,1.434
1mM,Sucrose,E,1.022
1mM,Sucrose,E,2.405
1mM,Sucrose,E,1.168
1mM,Sucrose,E,2.17
1mM,Sucrose,E,1.465
1mM,Sucrose,E,2.187
1mM,Sucrose,E,3.363
1mM,Sucrose,E,1.111
1mM,Sucrose,E,2.751
30mM,Sucrose,F,1.665
30mM,Sucrose,F,0.679
30mM,Sucrose,F,2.938
30mM,Sucrose,F,2.192
30mM,Sucrose,F,1.347
30mM,Sucrose,F,0.813
30mM,Sucrose,F,1.263
30mM,Sucrose,F,0.715
30mM,Sucrose,F,0.708
30mM,Sucrose,F,0.647
30mM,Sucrose,F,0.067
30mM,Sucrose,F,1.18
30mM,Sucrose,F,0.679
30mM,Sucrose,F,0.794
30mM,Sucrose,F,0.948
30mM,Sucrose,F,1.075
30mM,Sucrose,F,0.993
30mM,Sucrose,F,1.07
30mM,Sucrose,F,0.636
30mM,Sucrose,F,1.505
30mM,Sucrose,F,0.906
30mM,Sucrose,F,1.831
30mM,Sucrose,F,1.435
30mM,Sucrose,F,1.053
30mM,Sucrose,F,2.133
30mM,Sucrose,F,1.49
30mM,Sucrose,F,1.07
30mM,Sucrose,F,0.533
30mM,Sucrose,F,0.518
30mM,Sucrose,F,0.259
30mM,Sucrose,F,0.24
30mM,Sucrose,F,0.298
30mM,Sucrose,F,0.478
30mM,Sucrose,F,0.281
30mM,Sucrose,F,0.281
30mM,Sucrose,F,0.679
50mM,Sucrose,G,0.666
50mM,Sucrose,G,0.717
50mM,Sucrose,G,0.628
50mM,Sucrose,G,0.614
50mM,Sucrose,G,0.437
50mM,Sucrose,G,0.4
50mM,Sucrose,G,2.133
50mM,Sucrose,G,0.266
50mM,Sucrose,G,1.831
50mM,Sucrose,G,0.54
50mM,Sucrose,G,0.447
50mM,Sucrose,G,0.298
50mM,Sucrose,G,0.236
50mM,Sucrose,G,0.355
50mM,Sucrose,G,0.497
50mM,Sucrose,G,0.133
50mM,Sucrose,G,0.444
50mM,Sucrose,G,0.302
50mM,Sucrose,G,0.183
50mM,Sucrose,G,0.853
50mM,Sucrose,G,0.179
50mM,Sucrose,G,0.314
50mM,Sucrose,G,0.596
50mM,Sucrose,G,0.999
50mM,Sucrose,G,0.584
50mM,Sucrose,G,0.819
50mM,Sucrose,G,0.4
50mM,Sucrose,G,0.577
50mM,Sucrose,G,0.211
50mM,Sucrose,G,0.573
50mM,Sucrose,G,0.942
50mM,Sucrose,G,1.372
50mM,Sucrose,G,1.27
50mM,Sucrose,G,1.206
50mM,Sucrose,G,0.298
50mM,Sucrose,G,0.684
50mM,Sucrose,G,0.355
50mM,Sucrose,G,0.632
50mM,Sucrose,G,0.067
50mM,Sucrose,G,0.183
50mM,Sucrose,G,0.835
50mM,Sucrose,G,1.116
50mM,Sucrose,G,0.266
50mM,Sucrose,G,0.188
50mM,Sucrose,G,0.063
50mM,Sucrose,G,1.008
50mM,Sucrose,G,0.24
50mM,Sucrose,G,0.133
50mM,Sucrose,G,0.533
50mM,Sucrose,G,1.356
50mM,Sucrose,G,0.044
50mM,Sucrose,G,0.133
50mM,Sucrose,G,0.14
50mM,Sucrose,G,0.275
50mM,Sucrose,G,0.767
50mM,Sucrose,G,0.546
50mM,Sucrose,G,0.641
50mM,Sucrose,G,0.677
50mM,Sucrose,G,1.096
50mM,Sucrose,G,0.759
50mM,Sucrose,G,0.647
50mM,Sucrose,G,0.419
50mM,Sucrose,G,0.226
50mM,Sucrose,G,0.149
50mM,Sucrose,G,0.533
50mM,Sucrose,G,0.348
50mM,Sucrose,G,0.848
50mM,Sucrose,G,0.97
50mM,Sucrose,G,0.2
50mM,Sucrose,G,0.421
50mM,Sucrose,G,0.81
50mM,Sucrose,G,0.583
50mM,Sucrose,G,0.199
50mM,Sucrose,G,0.679
50mM,Sucrose,G,0.533
50mM,Sucrose,G,0.266
50mM,Sucrose,G,0.4
50mM,Sucrose,G,0.6
50mM,Sucrose,G,0.604
100mM,Sucrose,H,0.984
100mM,Sucrose,H,1.192
100mM,Sucrose,H,0.133
100mM,Sucrose,H,0.537
100mM,Sucrose,H,1.005
100mM,Sucrose,H,0.52
100mM,Sucrose,H,0.044
100mM,Sucrose,H,0.733
100mM,Sucrose,H,0.16
100mM,Sucrose,H,0.434
100mM,Sucrose,H,0.067
100mM,Sucrose,H,0.133
100mM,Sucrose,H,0.694
100mM,Sucrose,H,0.099
100mM,Sucrose,H,0.149
100mM,Sucrose,H,0.17
100mM,Sucrose,H,0.133
100mM,Sucrose,H,0.298
100mM,Sucrose,H,0.199
100mM,Sucrose,H,0.314
100mM,Sucrose,H,0.266
100mM,Sucrose,H,0.067
100mM,Sucrose,H,0.05
100mM,Sucrose,H,0.137
100mM,Sucrose,H,0.1
100mM,Sucrose,H,0.179
100mM,Sucrose,H,0.302
100mM,Sucrose,H,0.298
100mM,Sucrose,H,1.041
100mM,Sucrose,H,0.089
100mM,Sucrose,H,0.089
100mM,Sucrose,H,0.199
100mM,Sucrose,H,0.044
100mM,Sucrose,H,0.717
100mM,Sucrose,H,0.76
100mM,Sucrose,H,0.881
100mM,Sucrose,H,0.377
100mM,Sucrose,H,0.174
100mM,Sucrose,H,0.266
100mM,Sucrose,H,0.044
100mM,Sucrose,H,0.044
100mM,Sucrose,H,0.27
100mM,Sucrose,H,0.099
100mM,Sucrose,H,0.251
100mM,Sucrose,H,0.24
100mM,Sucrose,H,0.044
100mM,Sucrose,H,0.074
100mM,Sucrose,H,0.094
100mM,Sucrose,H,0.08
100mM,Sucrose,H,0.12
100mM,Sucrose,H,0.089
100mM,Sucrose,H,0.133
100mM,Sucrose,H,0.266
100mM,Sucrose,H,0.333
100mM,Sucrose,H,0.199
100mM,Sucrose,H,0.211
100mM,Sucrose,H,0.089
100mM,Sucrose,H,0.074
100mM,Sucrose,H,0.063
100mM,Sucrose,H,0.141
100mM,Sucrose,H,0.074
100mM,Sucrose,H,0.666
100mM,Sucrose,H,0.24
100mM,Sucrose,H,0.427
100mM,Sucrose,H,0.133
100mM,Sucrose,H,0.298
100mM,Sucrose,H,0.044
100mM,Sucrose,H,0.183
0.4mM,Sorbitol,D,2.665
0.4mM,Sorbitol,D,0.6
0.4mM,Sorbitol,D,1.465
0.4mM,Sorbitol,D,0.666
0.4mM,Sorbitol,D,0.695
0.4mM,Sorbitol,D,3.111
0.4mM,Sorbitol,D,1.587
0.4mM,Sorbitol,D,1.587
0.4mM,Sorbitol,D,2.402
0.4mM,Sorbitol,D,0.935
0.4mM,Sorbitol,D,2.139
0.4mM,Sorbitol,D,1.43
0.4mM,Sorbitol,D,1.925
0.4mM,Sorbitol,D,0.872
0.4mM,Sorbitol,D,1.127
0.4mM,Sorbitol,D,0.183
0.4mM,Sorbitol,D,0.876
0.4mM,Sorbitol,D,0.983
0.4mM,Sorbitol,D,1.257
0.4mM,Sorbitol,D,1.257
0.4mM,Sorbitol,D,1.314
0.4mM,Sorbitol,D,2.781
0.4mM,Sorbitol,D,2.192
0.4mM,Sorbitol,D,3.85
0.4mM,Sorbitol,D,2.633
0.4mM,Sorbitol,D,0.712
0.4mM,Sorbitol,D,2.361
0.4mM,Sorbitol,D,1.254
0.4mM,Sorbitol,D,1.918
0.4mM,Sorbitol,D,1.201
0.4mM,Sorbitol,D,2.707
0.4mM,Sorbitol,D,1.07
0.4mM,Sorbitol,D,1.554
0.4mM,Sorbitol,D,2.187
0.4mM,Sorbitol,D,0.712
0.4mM,Sorbitol,D,0.453
0.4mM,Sorbitol,D,1.514
0.4mM,Sorbitol,D,0.067
0.4mM,Sorbitol,D,0.829
0.4mM,Sorbitol,D,1.758
0.4mM,Sorbitol,D,0.589
0.4mM,Sorbitol,D,0.628
0.4mM,Sorbitol,D,1.489
0.4mM,Sorbitol,D,2.343
0.4mM,Sorbitol,D,1.089
0.4mM,Sorbitol,D,0.866
1mM,Sorbitol,E,1.219
1mM,Sorbitol,E,1.336
1mM,Sorbitol,E,1.036
1mM,Sorbitol,E,3.308
1mM,Sorbitol,E,1.621
1mM,Sorbitol,E,1.097
1mM,Sorbitol,E,1.432
1mM,Sorbitol,E,1.327
1mM,Sorbitol,E,1.562
1mM,Sorbitol,E,1.192
1mM,Sorbitol,E,0.811
1mM,Sorbitol,E,2.585
1mM,Sorbitol,E,1.361
1mM,Sorbitol,E,1.54
1mM,Sorbitol,E,1.426
1mM,Sorbitol,E,1.074
1mM,Sorbitol,E,1.777
1mM,Sorbitol,E,1.07
30mM,Sorbitol,F,0.732
30mM,Sorbitol,F,0.933
30mM,Sorbitol,F,2.167
30mM,Sorbitol,F,0.628
30mM,Sorbitol,F,0.879
30mM,Sorbitol,F,1.132
30mM,Sorbitol,F,1.421
30mM,Sorbitol,F,1.266
30mM,Sorbitol,F,1.18
30mM,Sorbitol,F,1.575
30mM,Sorbitol,F,1.998
30mM,Sorbitol,F,2.331
30mM,Sorbitol,F,1.532
30mM,Sorbitol,F,2.826
30mM,Sorbitol,F,1.856
30mM,Sorbitol,F,0.906
30mM,Sorbitol,F,3.671
30mM,Sorbitol,F,1.413
30mM,Sorbitol,F,1.76
30mM,Sorbitol,F,1.743
30mM,Sorbitol,F,1.158
30mM,Sorbitol,F,0.6
30mM,Sorbitol,F,1.007
30mM,Sorbitol,F,0.661
30mM,Sorbitol,F,1.561
30mM,Sorbitol,F,0.298
30mM,Sorbitol,F,0.567
30mM,Sorbitol,F,0.542
30mM,Sorbitol,F,1.083
30mM,Sorbitol,F,0.48
30mM,Sorbitol,F,0.2
30mM,Sorbitol,F,1.54
30mM,Sorbitol,F,0.933
30mM,Sorbitol,F,0.502
30mM,Sorbitol,F,0.464
30mM,Sorbitol,F,0.68
30mM,Sorbitol,F,1.52
30mM,Sorbitol,F,0.506
30mM,Sorbitol,F,0.978
30mM,Sorbitol,F,0.099
30mM,Sorbitol,F,0.307
30mM,Sorbitol,F,0.712
30mM,Sorbitol,F,0.285
30mM,Sorbitol,F,0.755
30mM,Sorbitol,F,0.97
30mM,Sorbitol,F,0.421
30mM,Sorbitol,F,1.347
30mM,Sorbitol,F,0.835
30mM,Sorbitol,F,0.094
50mM,Sorbitol,G,2.423
50mM,Sorbitol,G,0.957
50mM,Sorbitol,G,0.712
50mM,Sorbitol,G,0.565
50mM,Sorbitol,G,0.925
50mM,Sorbitol,G,1.601
50mM,Sorbitol,G,1.066
50mM,Sorbitol,G,0.977
50mM,Sorbitol,G,1.39
50mM,Sorbitol,G,0.298
50mM,Sorbitol,G,0.535
50mM,Sorbitol,G,0.57
50mM,Sorbitol,G,0.069
50mM,Sorbitol,G,0.199
50mM,Sorbitol,G,0.556
50mM,Sorbitol,G,0.126
50mM,Sorbitol,G,0.377
50mM,Sorbitol,G,0.188
50mM,Sorbitol,G,0.179
50mM,Sorbitol,G,0.126
50mM,Sorbitol,G,0.491
50mM,Sorbitol,G,0.444
50mM,Sorbitol,G,0.54
50mM,Sorbitol,G,0.603
50mM,Sorbitol,G,0.355
50mM,Sorbitol,G,0.275
50mM,Sorbitol,G,0.421
50mM,Sorbitol,G,0.76
50mM,Sorbitol,G,0.355
50mM,Sorbitol,G,1.244
50mM,Sorbitol,G,0.199
50mM,Sorbitol,G,0.222
50mM,Sorbitol,G,0.14
50mM,Sorbitol,G,0.636
50mM,Sorbitol,G,0.52
50mM,Sorbitol,G,0.801
50mM,Sorbitol,G,0.222
50mM,Sorbitol,G,0.281
50mM,Sorbitol,G,0.446
50mM,Sorbitol,G,0.462
50mM,Sorbitol,G,2.226
50mM,Sorbitol,G,2.004
50mM,Sorbitol,G,1.216
50mM,Sorbitol,G,1.331
50mM,Sorbitol,G,2.425
100mM,Sorbitol,H,0.471
100mM,Sorbitol,H,0.556
100mM,Sorbitol,H,0.179
100mM,Sorbitol,H,0.379
100mM,Sorbitol,H,0.149
100mM,Sorbitol,H,0.133
100mM,Sorbitol,H,0.52
100mM,Sorbitol,H,0.333
100mM,Sorbitol,H,0.2
100mM,Sorbitol,H,0.2
100mM,Sorbitol,H,0.111
100mM,Sorbitol,H,0.17
100mM,Sorbitol,H,0.222
100mM,Sorbitol,H,0.333
100mM,Sorbitol,H,0.067
100mM,Sorbitol,H,0.427
100mM,Sorbitol,H,0.099
100mM,Sorbitol,H,0.044
100mM,Sorbitol,H,0.27
100mM,Sorbitol,H,0.478
100mM,Sorbitol,H,0.067
100mM,Sorbitol,H,0.178
100mM,Sorbitol,H,0.2
100mM,Sorbitol,H,0.359
100mM,Sorbitol,H,1.359
100mM,Sorbitol,H,0.149
100mM,Sorbitol,H,0.933
100mM,Sorbitol,H,0.099
100mM,Sorbitol,H,0.12
